path,type,created_commit_context,status,current_superseded,scientific_authority_role,reproducibility_role,recommendation,sha256,size
01_research_design/quantum_route_optimization_research_summary.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,0521e9e08ff600740de9be3ebe3bcba510bd369ac7b9b917cf87f2764e1ff19a,45094
01_research_design/quantum_route_optimization_slide_structure.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,da47eda26685e333bb9d6908bc90215bd4aae670a89807f0fb6d9a39ea00a2a1,19775
01_research_design/research_structure.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,68b9ed1da16185d231a4357694efd3b11c6f0d63cfeb72b3841a36db5791b10d,4476
05_src/traffic_simulation/R23_NEXT_STEPS.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,e99614456a2d85a78a17d3b30b5cca926bce3decf7caa48adb7d872412eeeca2,1789
05_src/traffic_simulation/R23_ROADMAP.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,6d04cd82f9def568a8269654297f6392d9e5078f8a39652339bc9aae23a99f1a,2449
05_src/traffic_simulation/R23_STATUS.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,cebd9185fe104f9a1051a3e99e7f86af84a2787bba4a94949b9e73523ffffcee,3087
05_src/traffic_simulation/README.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,a613e05a934b73a94fade5d9fce23e146cc94f5867cc4744540dd881d3281228,9037
05_src/traffic_simulation/confirmed_implementation_and_verification.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,68cf226468e4888c83a21e4feffd4711778fd7e59ff197cb4c2d350f592f993d,8158
05_src/traffic_simulation/current_issues_and_blockers.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,1909c02b8232c089fd2a1b1d99837c4f51fff8581abf0aff3bd4d65b4b81d2ef,32003
05_src/traffic_simulation/decisions_required_for_next_steps.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,1c875713f2aa665808965a67bc8e1dcf7ca00da13124878217dd2c4244fab4d8,20346
05_src/traffic_simulation/evrp_r20_qubo_formulation/build_r20_spec.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,aa8e913386ce7bd86ccd91d3b6fe5e8ead0539d4ee790ea6dec0e8c01e249ced,10279
05_src/traffic_simulation/implementation_plan.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,b694a6d8b38023835c75755c82c663ce0412886845cf21767e05b39a196d727e,131243
05_src/traffic_simulation/optimization_comparison_protocol.md,.md,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,ff0833a26d598f11b6266d623918567b35721424176232695b4417679056aadf,3071
05_src/traffic_simulation/r20_route_ordering/core.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,131a310a5cee2d4263d0fa5e33c9b2fb09bdae3bbe3399499e3065b8b56541d1,16057
05_src/traffic_simulation/r20_route_ordering/freeze_r23_instance_authority.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,f7ae7d206edc48ef70f539d1ee01319543762846d844bc1788596eb53d4053b0,19445
05_src/traffic_simulation/r20_route_ordering/link_r23_authorization_artifact.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,0df30f7ff2a4d6883c6b4dc9199feb25d0cb152e259ce8fee87612203c158221,789
05_src/traffic_simulation/r20_route_ordering/resolve_r23_design_authority.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,3982a8713bbf8c549ffb40133976db8ece2583d0fef4b091af8a131bc3c90e2c,372
05_src/traffic_simulation/r20_route_ordering/validate_formal_lambda.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,c626aac034be4a84a5f411a6c00242ccca98f88c1e1793c6721ec5ae65ed77e9,15055
05_src/traffic_simulation/r20_route_ordering/write_r23_authority_set_manifests.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,fdd2c7de4ffc27dbaf8a5a26c3813a9578b905145b2f3482511fa2f70924e37e,1536
05_src/traffic_simulation/r23_n5_scaling/run_n5_scaling.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,76a0b89d4999abad7fb7472740b84ac128c1863571299ef43ed7e9f43924d254,11910
05_src/traffic_simulation/r23_qaoa_aer/__init__.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,4936c3c2b76de8e11677282ba487159618c015432075d0963a297621b5a99a4f,358
05_src/traffic_simulation/r23_qaoa_aer/artifact.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,66285aff39ee9e1008070070e5e4a16713f392a967a8d4bb838bf6e660e1727b,9496
05_src/traffic_simulation/r23_qaoa_aer/execution_provenance.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,2e2f5b5f31fdd1a243e09018849e94ef73c760930426b6d7fd42c8769afbac59,4401
05_src/traffic_simulation/r23_qaoa_aer/hamiltonian.py,.py,present at 64b9ee1e687273896570713f1e28ed10a788c39f; tracked,CURRENT_OR_SUPPORTING,current/supporting,"canonical definition, implementation/supporting input, or accepted closure/current status",retain current source/definitions/input/status,KEEP_ACTIVE,f38947e84cdb1094cd35c80462ed7db9c693da7e0f2f622e187053c235435f03,2291
